customer_id,segment,country,risk_band,age
CUST000001,SME,UK,Low,35
CUST000002,SME,UAE,Low,77
CUST000003,Corporate,India,High,59
CUST000004,SME,Singapore,Medium,78
CUST000005,Private Banking,India,High,67
CUST000006,Corporate,UK,Medium,63
CUST000007,Retail,UAE,Very High,32
CUST000008,Private Banking,Singapore,Low,79
CUST000009,Retail,India,Low,49
CUST000010,Corporate,Singapore,Medium,77
CUST000011,Retail,India,High,64
CUST000012,Private Banking,India,High,38
CUST000013,SME,Singapore,High,70
CUST000014,Corporate,Singapore,Very High,74
CUST000015,Private Banking,UK,High,72
CUST000016,Private Banking,India,Low,49
CUST000017,SME,Singapore,Low,62
CUST000018,Private Banking,UK,Medium,32
CUST000019,Private Banking,UAE,Very High,26
CUST000020,Private Banking,UAE,High,44
CUST000021,SME,Singapore,Very High,18
CUST000022,Retail,UK,Low,59
CUST000023,Retail,UK,Medium,70
CUST000024,Private Banking,USA,Low,19
CUST000025,Corporate,UK,Low,20
CUST000026,Retail,Singapore,Very High,72
CUST000027,SME,Singapore,Low,37
CUST000028,SME,UK,Very High,60
CUST000029,SME,India,Very High,19
CUST000030,Corporate,Singapore,Low,67
CUST000031,SME,UAE,Low,49
CUST000032,SME,India,Medium,25
CUST000033,SME,UAE,High,40
CUST000034,SME,USA,Very High,29
CUST000035,Retail,USA,Medium,54
CUST000036,Private Banking,Singapore,High,26
CUST000037,Corporate,USA,High,70
CUST000038,SME,Singapore,Medium,28
CUST000039,SME,UAE,Medium,62
CUST000040,SME,USA,Medium,18
CUST000041,Corporate,UK,Very High,62
CUST000042,SME,UK,Medium,26
CUST000043,SME,UAE,Very High,23
CUST000044,Corporate,India,Very High,43
CUST000045,Retail,India,Very High,20
CUST000046,SME,UAE,Very High,68
CUST000047,Retail,USA,Medium,71
CUST000048,SME,UAE,Low,24
CUST000049,Retail,UAE,Low,27
CUST000050,Private Banking,India,High,59
CUST000051,SME,USA,Medium,63
CUST000052,Retail,UAE,Very High,77
CUST000053,Corporate,USA,High,67
CUST000054,Private Banking,UAE,Medium,38
CUST000055,Private Banking,UK,Medium,27
CUST000056,SME,Singapore,Medium,27
CUST000057,SME,USA,Low,58
CUST000058,Retail,USA,High,34
CUST000059,SME,UK,Medium,63
CUST000060,SME,Singapore,High,43
CUST000061,Retail,UAE,Medium,70
CUST000062,Corporate,Singapore,High,59
CUST000063,Retail,UAE,Medium,71
CUST000064,Private Banking,Singapore,Low,72
CUST000065,Retail,USA,Low,35
CUST000066,Private Banking,UAE,High,24
CUST000067,SME,India,Very High,60
CUST000068,Corporate,Singapore,High,67
CUST000069,Retail,USA,High,27
CUST000070,Retail,India,Medium,67
CUST000071,Private Banking,Singapore,Very High,60
CUST000072,Retail,USA,High,60
CUST000073,Private Banking,Singapore,Very High,60
CUST000074,Corporate,UAE,Low,38
CUST000075,Corporate,UAE,Low,41
CUST000076,Corporate,UK,Low,69
CUST000077,SME,India,High,23
CUST000078,Private Banking,UK,Low,22
CUST000079,Corporate,UK,Very High,35
CUST000080,Retail,USA,Low,54
CUST000081,Private Banking,USA,Medium,55
CUST000082,Corporate,UAE,Very High,40
CUST000083,SME,India,Very High,69
CUST000084,Retail,Singapore,Low,34
CUST000085,SME,UAE,Medium,60
CUST000086,Retail,India,Very High,24
CUST000087,SME,India,Medium,37
CUST000088,Retail,Singapore,Medium,66
CUST000089,Private Banking,USA,Very High,47
CUST000090,Private Banking,UAE,Low,54
CUST000091,Private Banking,Singapore,Low,28
CUST000092,Private Banking,UAE,Very High,32
CUST000093,Retail,USA,Medium,26
CUST000094,Private Banking,UAE,Low,47
CUST000095,Corporate,USA,Very High,59
CUST000096,Private Banking,UK,Medium,71
CUST000097,SME,USA,High,30
CUST000098,Retail,USA,Low,58
CUST000099,Private Banking,UK,High,30
CUST000100,Retail,USA,High,29
CUST000101,SME,India,Medium,20
CUST000102,SME,India,Low,40
CUST000103,Retail,UK,Very High,69
CUST000104,Private Banking,UK,High,54
CUST000105,Private Banking,UK,Very High,18
CUST000106,Retail,India,Medium,44
CUST000107,Private Banking,UAE,High,37
CUST000108,Private Banking,UAE,Very High,37
CUST000109,Private Banking,USA,Very High,77
CUST000110,Corporate,India,Very High,70
CUST000111,SME,UAE,High,45
CUST000112,Retail,UK,High,20
CUST000113,Retail,UAE,Medium,40
CUST000114,Corporate,Singapore,Very High,30
CUST000115,Retail,USA,Very High,80
CUST000116,Corporate,USA,Very High,57
CUST000117,SME,UAE,Very High,23
CUST000118,Retail,USA,High,26
CUST000119,Private Banking,Singapore,High,31
CUST000120,Retail,UK,Very High,64
CUST000121,Retail,Singapore,High,40
CUST000122,Retail,Singapore,Medium,47
CUST000123,Private Banking,Singapore,Very High,37
CUST000124,SME,India,High,57
CUST000125,Corporate,USA,High,57
CUST000126,Private Banking,UK,High,44
CUST000127,Private Banking,Singapore,High,80
CUST000128,Corporate,UK,High,65
CUST000129,SME,UK,High,68
CUST000130,Retail,UK,Low,43
CUST000131,SME,USA,Medium,71
CUST000132,Corporate,UK,Very High,36
CUST000133,SME,USA,High,74
CUST000134,Private Banking,UK,Low,51
CUST000135,SME,Singapore,Medium,21
CUST000136,Corporate,USA,Very High,26
CUST000137,Private Banking,Singapore,High,24
CUST000138,SME,Singapore,Low,79
CUST000139,Retail,USA,Very High,26
CUST000140,Retail,Singapore,Low,73
CUST000141,Private Banking,India,Very High,38
CUST000142,Corporate,USA,High,30
CUST000143,Corporate,UAE,High,39
CUST000144,Private Banking,USA,Medium,72
CUST000145,SME,India,Medium,18
CUST000146,Retail,UK,High,54
CUST000147,Private Banking,UK,Very High,77
CUST000148,Retail,Singapore,Medium,54
CUST000149,Retail,India,Medium,75
CUST000150,Corporate,India,Medium,67
CUST000151,Retail,Singapore,Very High,39
CUST000152,Private Banking,UK,Very High,30
CUST000153,Corporate,USA,High,58
CUST000154,Private Banking,India,Very High,80
CUST000155,Retail,USA,Medium,78
CUST000156,Retail,UK,High,53
CUST000157,Corporate,Singapore,High,62
CUST000158,Corporate,UAE,Very High,32
CUST000159,Retail,India,Medium,77
CUST000160,Corporate,India,Medium,36
CUST000161,SME,Singapore,Very High,28
CUST000162,SME,India,Medium,30
CUST000163,Corporate,UAE,High,29
CUST000164,Corporate,UAE,Medium,59
CUST000165,Retail,India,High,32
CUST000166,Private Banking,USA,Very High,50
CUST000167,Private Banking,USA,Low,20
CUST000168,Corporate,Singapore,High,42
CUST000169,Retail,Singapore,Low,59
CUST000170,Private Banking,UAE,High,22
CUST000171,Private Banking,UK,Medium,20
CUST000172,Corporate,Singapore,High,21
CUST000173,SME,Singapore,High,78
CUST000174,Retail,Singapore,Medium,70
CUST000175,Corporate,UAE,Very High,39
CUST000176,SME,UAE,High,64
CUST000177,SME,Singapore,Medium,26
CUST000178,SME,USA,Medium,18
CUST000179,SME,India,Medium,39
CUST000180,Private Banking,USA,Low,31
CUST000181,SME,India,Medium,19
CUST000182,SME,Singapore,High,44
CUST000183,Private Banking,UAE,Low,64
