document_id,principal,permission
01653_Record_Retention_Standard_v1.7,USER00001,read
00565_Compliance_Policy_v9.4,USER00001,read
02104_Payment_Processing_Procedure_v5.9,USER00001,read
00566_Funding_Guide_v7.9,USER00001,read
00291_Sanctions_Screening_Manual_v9.4,USER00001,read
01449_SME_Underwriting_Procedure_v3.5,USER00001,read
00990_Interest_Rate_Risk_Manual_v7.5,USER00001,read
01915_Transaction_Monitoring_Standard_v7.6,USER00001,read
01254_Liquidity_Management_Procedure_v6.9,USER00001,read
00561_Lending_Standards_v3.0,USER00001,read
00775_Investment_Policy_v9.1,USER00002,read
01167_Trade_Operations_Guide_v6.4,USER00002,read
01500_Beneficial_Ownership_Guide_v1.1,USER00002,read
00512_Operations_Manual_v2.3,USER00002,read
02229_Regulatory_Change_Procedure_v1.6,USER00002,read
02289_Lending_Standards_v4.5,USER00002,read
01313_Credit_Policy_v3.3,USER00002,read
01987_AML_Escalation_Procedure_v5.4,USER00002,read
00990_Interest_Rate_Risk_Manual_v7.5,USER00002,read
01944_Reconciliation_Standard_v3.4,USER00002,read
01338_Market_Risk_Framework_v8.4,USER00003,read
01613_Conduct_Risk_Standard_v4.1,USER00003,read
02326_Funding_Guide_v5.8,USER00003,read
00863_Portfolio_Risk_Procedure_v2.5,USER00003,read
00827_Sanctions_Screening_Manual_v3.0,USER00003,read
00193_Mortgage_Origination_Guide_v9.0,USER00003,read
01819_AML_Policy_v8.2,USER00003,read
01830_Funding_Guide_v9.0,USER00003,read
00140_KYC_Policy_v5.2,USER00003,read
00772_KYC_Policy_v5.6,USER00003,read
00287_Trade_Operations_Guide_v8.2,USER00004,read
01862_Treasury_Policy_v6.0,USER00004,read
01234_Market_Risk_Framework_v2.5,USER00004,read
00336_Operations_Manual_v5.3,USER00004,read
00511_Securities_Valuation_Manual_v6.8,USER00004,read
01575_Trade_Operations_Guide_v2.7,USER00004,read
02134_Treasury_Policy_v2.6,USER00004,read
00820_Customer_Risk_Rating_Manual_v2.0,USER00004,read
00410_Liquidity_Risk_Policy_v8.0,USER00004,read
01591_Investment_Policy_v2.0,USER00004,read
02061_Conduct_Risk_Standard_v7.9,USER00005,read
01776_Operations_Manual_v5.4,USER00005,read
00601_Lending_Standards_v5.1,USER00005,read
02168_Incident_Management_Procedure_v2.9,USER00005,read
00395_AML_Escalation_Procedure_v3.6,USER00005,read
01472_Payment_Processing_Procedure_v5.4,USER00005,read
00504_Reconciliation_Standard_v1.5,USER00005,read
00886_Interest_Rate_Risk_Manual_v2.8,USER00005,read
01111_Securities_Valuation_Manual_v1.5,USER00005,read
01314_Credit_Risk_Methodology_v7.3,USER00005,read
00564_Customer_Due_Diligence_Standard_v8.6,USER00006,read
00615_Securities_Valuation_Manual_v5.0,USER00006,read
01529_SME_Underwriting_Procedure_v1.2,USER00006,read
00067_AML_Escalation_Procedure_v9.8,USER00006,read
00376_Incident_Management_Procedure_v1.5,USER00006,read
00956_Beneficial_Ownership_Guide_v7.6,USER00006,read
01524_Beneficial_Ownership_Guide_v1.9,USER00006,read
01012_KYC_Policy_v9.0,USER00006,read
01240_Operations_Manual_v5.2,USER00006,read
00075_Sanctions_Screening_Manual_v7.6,USER00006,read
02096_Incident_Management_Procedure_v7.1,USER00007,read
02033_Credit_Policy_v4.1,USER00007,read
01343_Securities_Valuation_Manual_v5.4,USER00007,read
00088_Payment_Processing_Procedure_v5.0,USER00007,read
01201_Credit_Policy_v7.4,USER00007,read
00386_Credit_Risk_Methodology_v5.9,USER00007,read
00287_Trade_Operations_Guide_v8.2,USER00007,read
01325_Record_Retention_Standard_v3.0,USER00007,read
02349_Compliance_Policy_v7.7,USER00007,read
00720_Reconciliation_Standard_v5.9,USER00007,read
01698_Operational_Risk_Standard_v1.2,USER00008,read
00515_AML_Escalation_Procedure_v7.6,USER00008,read
00863_Portfolio_Risk_Procedure_v2.5,USER00008,read
00501_Regulatory_Change_Procedure_v8.3,USER00008,read
00765_Regulatory_Change_Procedure_v2.0,USER00008,read
00415_Investment_Policy_v6.9,USER00008,read
01569_Credit_Policy_v9.3,USER00008,read
00696_Incident_Management_Procedure_v2.7,USER00008,read
00342_Interest_Rate_Risk_Manual_v5.4,USER00008,read
00965_Record_Retention_Standard_v7.1,USER00008,read
02306_Liquidity_Risk_Policy_v9.9,USER00009,read
01941_Compliance_Policy_v8.9,USER00009,read
00127_Securities_Valuation_Manual_v2.4,USER00009,read
01131_AML_Policy_v6.9,USER00009,read
01242_Liquidity_Risk_Policy_v6.9,USER00009,read
00572_KYC_Policy_v8.9,USER00009,read
00489_Mortgage_Origination_Guide_v4.5,USER00009,read
01348_KYC_Policy_v6.9,USER00009,read
01135_Trade_Operations_Guide_v5.7,USER00009,read
01041_SME_Underwriting_Procedure_v1.8,USER00009,read
01007_Securities_Valuation_Manual_v6.4,USER00010,read
00745_Credit_Policy_v5.9,USER00010,read
01076_Customer_Risk_Rating_Manual_v2.8,USER00010,read
01660_Customer_Risk_Rating_Manual_v5.2,USER00010,read
00530_Market_Risk_Framework_v7.9,USER00010,read
02313_Mortgage_Origination_Guide_v4.1,USER00010,read
01830_Funding_Guide_v9.0,USER00010,read
00532_KYC_Policy_v7.5,USER00010,read
01704_Payment_Processing_Procedure_v2.8,USER00010,read
01546_Operational_Risk_Standard_v5.7,USER00010,read
02172_Beneficial_Ownership_Guide_v9.7,USER00011,read
01610_Operational_Risk_Standard_v6.5,USER00011,read
01786_Credit_Risk_Methodology_v9.1,USER00011,read
00818_Operational_Risk_Standard_v7.7,USER00011,read
00530_Market_Risk_Framework_v7.9,USER00011,read
02262_Interest_Rate_Risk_Manual_v7.8,USER00011,read
01375_Investment_Policy_v8.4,USER00011,read
01781_Compliance_Policy_v7.5,USER00011,read
00508_Customer_Risk_Rating_Manual_v9.0,USER00011,read
01429_Regulatory_Change_Procedure_v1.7,USER00011,read
02153_SME_Underwriting_Procedure_v4.8,USER00012,read
01360_Incident_Management_Procedure_v9.1,USER00012,read
02112_Reconciliation_Standard_v8.9,USER00012,read
01685_Compliance_Policy_v6.2,USER00012,read
01393_Mortgage_Origination_Guide_v3.6,USER00012,read
02282_Operational_Risk_Standard_v1.6,USER00012,read
00481_Lending_Standards_v6.4,USER00012,read
00461_Conduct_Risk_Standard_v7.2,USER00012,read
02198_Treasury_Policy_v9.0,USER00012,read
01834_Operational_Risk_Standard_v4.7,USER00012,read
01277_Record_Retention_Standard_v1.9,USER00013,read
00139_AML_Policy_v9.3,USER00013,read
01992_Reconciliation_Standard_v2.0,USER00013,read
00184_Incident_Management_Procedure_v4.5,USER00013,read
00164_Customer_Risk_Rating_Manual_v7.4,USER00013,read
00051_AML_Policy_v7.9,USER00013,read
01947_AML_Policy_v9.8,USER00013,read
00700_Customer_Risk_Rating_Manual_v7.8,USER00013,read
02278_Treasury_Policy_v5.5,USER00013,read
00336_Operations_Manual_v5.3,USER00013,read
00297_SME_Underwriting_Procedure_v9.9,USER00014,read
01457_SME_Underwriting_Procedure_v9.1,USER00014,read
02129_Lending_Standards_v8.0,USER00014,read
00977_Credit_Policy_v4.9,USER00014,read
02217_SME_Underwriting_Procedure_v8.0,USER00014,read
00244_Beneficial_Ownership_Guide_v5.1,USER00014,read
00695_Securities_Valuation_Manual_v7.2,USER00014,read
02200_Operations_Manual_v9.3,USER00014,read
00784_Reconciliation_Standard_v3.1,USER00014,read
01422_Liquidity_Management_Procedure_v3.9,USER00014,read
00977_Credit_Policy_v4.9,USER00015,read
00581_Conduct_Risk_Standard_v8.4,USER00015,read
01576_Operations_Manual_v7.1,USER00015,read
00863_Portfolio_Risk_Procedure_v2.5,USER00015,read
02245_Regulatory_Change_Procedure_v2.8,USER00015,read
01451_Transaction_Monitoring_Standard_v5.4,USER00015,read
01799_Portfolio_Risk_Procedure_v4.1,USER00015,read
00987_AML_Policy_v4.8,USER00015,read
00021_Record_Retention_Standard_v4.8,USER00015,read
00400_Payment_Processing_Procedure_v6.5,USER00015,read
01477_Record_Retention_Standard_v7.7,USER00016,read
00246_Liquidity_Management_Procedure_v9.4,USER00016,read
00463_Securities_Valuation_Manual_v2.5,USER00016,read
00628_Customer_Due_Diligence_Standard_v9.6,USER00016,read
01045_Compliance_Policy_v6.3,USER00016,read
00537_Credit_Policy_v9.4,USER00016,read
00123_Transaction_Monitoring_Standard_v7.9,USER00016,read
00565_Compliance_Policy_v9.4,USER00016,read
00530_Market_Risk_Framework_v7.9,USER00016,read
00250_Market_Risk_Framework_v4.8,USER00016,read
01428_Customer_Due_Diligence_Standard_v2.3,USER00017,read
01394_Liquidity_Risk_Policy_v5.9,USER00017,read
00034_Market_Risk_Framework_v4.9,USER00017,read
01272_Payment_Processing_Procedure_v1.6,USER00017,read
01591_Investment_Policy_v2.0,USER00017,read
01897_Mortgage_Origination_Guide_v2.9,USER00017,read
01443_Transaction_Monitoring_Standard_v7.0,USER00017,read
00372_KYC_Policy_v1.0,USER00017,read
00015_Trade_Operations_Guide_v8.8,USER00017,read
01707_AML_Policy_v9.3,USER00017,read
01674_Market_Risk_Framework_v2.9,USER00018,read
02158_Liquidity_Management_Procedure_v8.8,USER00018,read
01567_Trade_Operations_Guide_v1.1,USER00018,read
02303_Trade_Operations_Guide_v5.1,USER00018,read
01280_Operations_Manual_v2.7,USER00018,read
00242_Liquidity_Risk_Policy_v5.9,USER00018,read
00013_Conduct_Risk_Standard_v7.9,USER00018,read
00002_Market_Risk_Framework_v7.0,USER00018,read
01680_Operations_Manual_v6.1,USER00018,read
01160_Operations_Manual_v7.8,USER00018,read
01148_Beneficial_Ownership_Guide_v4.5,USER00019,read
00129_SME_Underwriting_Procedure_v6.1,USER00019,read
02357_Record_Retention_Standard_v6.9,USER00019,read
01099_AML_Escalation_Procedure_v5.6,USER00019,read
00835_Transaction_Monitoring_Standard_v5.2,USER00019,read
00798_Interest_Rate_Risk_Manual_v1.1,USER00019,read
01194_Credit_Risk_Methodology_v3.0,USER00019,read
01376_Reconciliation_Standard_v1.2,USER00019,read
01506_Operational_Risk_Standard_v7.4,USER00019,read
00963_Transaction_Monitoring_Standard_v6.4,USER00019,read
01867_Sanctions_Screening_Manual_v8.1,USER00020,read
00544_Incident_Management_Procedure_v8.2,USER00020,read
00501_Regulatory_Change_Procedure_v8.3,USER00020,read
01447_Trade_Operations_Guide_v2.5,USER00020,read
01770_Credit_Risk_Methodology_v4.7,USER00020,read
00876_Beneficial_Ownership_Guide_v8.7,USER00020,read
01166_Funding_Guide_v4.4,USER00020,read
00943_Trade_Operations_Guide_v2.6,USER00020,read
00077_Conduct_Risk_Standard_v1.6,USER00020,read
00350_Funding_Guide_v1.6,USER00020,read
02193_SME_Underwriting_Procedure_v1.7,USER00021,read
00990_Interest_Rate_Risk_Manual_v7.5,USER00021,read
02107_Transaction_Monitoring_Standard_v1.9,USER00021,read
01123_AML_Escalation_Procedure_v6.2,USER00021,read
00128_Reconciliation_Standard_v9.8,USER00021,read
01608_Incident_Management_Procedure_v4.6,USER00021,read
01878_Liquidity_Management_Procedure_v1.6,USER00021,read
01119_Portfolio_Risk_Procedure_v2.4,USER00021,read
00357_Regulatory_Change_Procedure_v3.6,USER00021,read
01593_SME_Underwriting_Procedure_v4.8,USER00021,read
