loan_id,customer_id,product,currency,principal,interest_rate,status,risk_band
LOAN0000001,CUST007884,working capital,GBP,9607828.21,9.72,Performing,Medium
LOAN0000002,CUST004062,mortgage,INR,1006778.26,12.74,Watch,Low
LOAN0000003,CUST001862,working capital,GBP,8737450.14,11.41,Performing,Medium
LOAN0000004,CUST009680,trade finance,USD,1837644.03,14.28,Watch,High
LOAN0000005,CUST007741,commercial overdraft,INR,4660619.86,15.83,NonPerforming,Low
LOAN0000006,CUST005529,working capital,USD,8767740.47,13.82,Watch,Very High
LOAN0000007,CUST007026,working capital,INR,5576336.24,5.45,Performing,High
LOAN0000008,CUST002731,term loan,GBP,5730121.73,11.56,Performing,Low
LOAN0000009,CUST007903,trade finance,USD,1526581.59,10.8,Watch,Medium
LOAN0000010,CUST009682,trade finance,INR,7432952.58,13.94,NonPerforming,Very High
LOAN0000011,CUST008363,term loan,USD,3695661.57,12.47,Performing,Very High
LOAN0000012,CUST006758,credit card,GBP,4042805.62,14.2,NonPerforming,High
LOAN0000013,CUST004646,commercial overdraft,INR,5793964.13,13.01,Performing,Very High
LOAN0000014,CUST005291,trade finance,USD,425466.58,12.15,Watch,Low
LOAN0000015,CUST002110,working capital,USD,7647569.23,7.98,Performing,High
LOAN0000016,CUST001695,credit card,USD,9522229.48,10.92,Watch,Medium
LOAN0000017,CUST002346,term loan,GBP,3697292.05,17.27,Performing,Very High
LOAN0000018,CUST003173,working capital,INR,9091283.69,6.69,Watch,Medium
LOAN0000019,CUST009262,credit card,USD,2599204.14,14.56,NonPerforming,Medium
LOAN0000020,CUST008875,trade finance,USD,413622.67,5.11,NonPerforming,Very High
LOAN0000021,CUST001719,commercial overdraft,USD,6702118.13,17.66,Watch,Low
LOAN0000022,CUST007912,trade finance,INR,4603508.08,13.21,Watch,Very High
LOAN0000023,CUST000851,mortgage,INR,5575459.74,10.82,Performing,Low
LOAN0000024,CUST009385,term loan,USD,4643839.93,6.51,NonPerforming,Medium
LOAN0000025,CUST007944,commercial overdraft,GBP,3595098.7,11.6,Watch,High
LOAN0000026,CUST005778,commercial overdraft,USD,4645246.49,10.6,NonPerforming,Low
LOAN0000027,CUST001346,trade finance,USD,502600.11,11.61,NonPerforming,Low
LOAN0000028,CUST005837,trade finance,USD,2462865.54,10.57,Performing,Low
LOAN0000029,CUST008466,trade finance,GBP,8792795.4,12.18,Performing,Medium
LOAN0000030,CUST002373,working capital,GBP,5784201.71,11.23,NonPerforming,Medium
LOAN0000031,CUST006537,credit card,INR,4438766.68,6.94,NonPerforming,Low
LOAN0000032,CUST009515,term loan,USD,6330250.66,15.71,Watch,Medium
LOAN0000033,CUST008752,credit card,GBP,3111564.24,16.13,Performing,Medium
LOAN0000034,CUST004692,commercial overdraft,USD,6883816.14,8.32,Performing,Medium
LOAN0000035,CUST004813,working capital,USD,3514105.2,13.33,Performing,Low
LOAN0000036,CUST002598,credit card,USD,9043984.69,8.64,Watch,High
LOAN0000037,CUST007474,term loan,GBP,9253090.02,12.86,Performing,Very High
LOAN0000038,CUST004669,working capital,INR,8663029.9,6.84,Performing,Low
LOAN0000039,CUST000562,term loan,INR,7979443.67,13.16,Watch,Very High
LOAN0000040,CUST009316,credit card,USD,8567792.12,16.54,Watch,High
LOAN0000041,CUST008196,trade finance,USD,4678326.59,15.13,Watch,High
LOAN0000042,CUST002323,term loan,INR,3152838.95,7.24,Performing,Medium
LOAN0000043,CUST006072,credit card,USD,2628565.21,13.17,NonPerforming,Medium
LOAN0000044,CUST004234,term loan,INR,4474501.15,16.16,Watch,Low
LOAN0000045,CUST009314,commercial overdraft,USD,698093.28,17.13,Watch,Low
LOAN0000046,CUST001575,trade finance,INR,1454707.27,9.49,Performing,Low
LOAN0000047,CUST006034,mortgage,INR,2209516.48,5.56,NonPerforming,Medium
LOAN0000048,CUST001023,commercial overdraft,USD,6422151.58,11.21,NonPerforming,Medium
LOAN0000049,CUST003634,commercial overdraft,USD,8748532.75,6.75,Watch,Medium
LOAN0000050,CUST009687,mortgage,USD,79274.36,14.98,Watch,Medium
LOAN0000051,CUST004354,term loan,INR,3555781.93,11.84,Watch,Medium
