security_id,asset_class,currency,price,market_value,duration_years
SEC0000001,Money Market,GBP,9502.09,273306057.83,3.4
SEC0000002,Money Market,USD,3047.88,336449000.89,5.17
SEC0000003,ETF,USD,2168.41,316991377.24,5.65
SEC0000004,Money Market,INR,2280.36,181160320.97,7.55
SEC0000005,Government Bond,GBP,4405.51,380917340.91,12.05
SEC0000006,Money Market,EUR,338.34,391935580.37,5.3
SEC0000007,Corporate Bond,INR,7512.46,424070233.44,6.6
SEC0000008,Equity,INR,3298.51,146370982.74,4.85
SEC0000009,Equity,INR,103.37,190376193.28,13.52
SEC0000010,Money Market,USD,5769.92,381061487.16,12.24
SEC0000011,Equity,EUR,6584.29,394347422.0,10.48
SEC0000012,Equity,INR,9189.39,359414601.97,4.02
SEC0000013,Corporate Bond,EUR,1397.95,359841024.5,12.98
SEC0000014,Government Bond,USD,5267.7,102149940.85,14.84
SEC0000015,ETF,INR,5941.29,172568301.96,7.52
SEC0000016,Government Bond,GBP,733.07,292513022.44,14.49
SEC0000017,ETF,GBP,7473.24,38241365.75,3.55
SEC0000018,Equity,INR,2928.77,228170371.34,14.4
SEC0000019,Money Market,EUR,591.41,339307485.66,7.0
SEC0000020,Equity,INR,5063.58,292592831.13,2.54
SEC0000021,ETF,EUR,7487.88,419143949.26,3.81
SEC0000022,ETF,GBP,6304.02,276416789.52,11.52
SEC0000023,ETF,GBP,988.42,232526471.02,13.29
SEC0000024,Government Bond,GBP,4529.5,70231050.56,2.42
SEC0000025,Equity,USD,7004.39,21001968.81,1.02
SEC0000026,Equity,USD,2365.0,137062480.95,5.45
SEC0000027,Money Market,EUR,2383.56,153303174.46,9.04
SEC0000028,Equity,INR,333.99,220839305.57,6.33
SEC0000029,Government Bond,GBP,3788.39,436758770.79,14.43
SEC0000030,Government Bond,EUR,5112.23,448144128.8,7.76
SEC0000031,Equity,GBP,3978.44,347444550.99,14.25
SEC0000032,ETF,INR,5844.3,486998086.15,6.58
SEC0000033,Government Bond,USD,3150.75,186968976.33,9.55
SEC0000034,Government Bond,GBP,7413.72,364044748.41,8.38
SEC0000035,Government Bond,INR,7224.1,53833066.48,0.54
SEC0000036,Corporate Bond,USD,2892.34,312728654.3,6.48
SEC0000037,Corporate Bond,INR,3897.1,188240249.9,12.04
SEC0000038,Equity,INR,6298.6,261059126.98,7.06
SEC0000039,ETF,INR,2937.92,47624279.34,10.29
SEC0000040,Equity,INR,4974.14,217531640.84,7.56
SEC0000041,Government Bond,EUR,7764.29,152753446.79,3.41
SEC0000042,ETF,INR,2989.85,487631049.77,2.38
SEC0000043,Equity,INR,2766.85,496841081.98,13.86
SEC0000044,ETF,GBP,7660.34,215266746.49,13.02
SEC0000045,Government Bond,EUR,3251.11,433047225.29,13.66
SEC0000046,Money Market,EUR,4742.77,384560576.52,10.6
SEC0000047,Government Bond,USD,7955.43,185595754.42,10.73
SEC0000048,Government Bond,EUR,1171.03,83840748.93,12.17
SEC0000049,Money Market,EUR,4784.34,155977487.06,10.59
SEC0000050,ETF,EUR,9655.44,123030322.44,0.51
SEC0000051,Corporate Bond,INR,8007.99,262846474.76,10.68
SEC0000052,Corporate Bond,INR,9644.75,320765594.42,2.33
SEC0000053,Corporate Bond,GBP,1637.07,387214198.94,5.75
SEC0000054,Equity,EUR,7220.22,400385.31,7.59
SEC0000055,Money Market,GBP,9915.99,4658638.58,13.38
SEC0000056,Equity,INR,3945.1,250953716.71,6.25
SEC0000057,ETF,USD,7670.95,249812222.86,9.57
SEC0000058,Corporate Bond,INR,7162.29,159093052.01,1.05
SEC0000059,Money Market,INR,820.97,279370189.61,0.2
SEC0000060,Government Bond,EUR,8497.57,357522077.15,11.12
SEC0000061,Corporate Bond,USD,6068.45,233141305.57,12.36
SEC0000062,Corporate Bond,INR,7150.7,423488415.21,1.63
SEC0000063,Equity,INR,6546.38,83729394.73,3.62
SEC0000064,Money Market,USD,6170.22,445853879.06,14.8
SEC0000065,Corporate Bond,GBP,157.32,141101298.53,0.36
SEC0000066,Government Bond,EUR,9556.5,217557198.12,2.87
SEC0000067,Money Market,EUR,5618.34,286492126.74,4.64
SEC0000068,ETF,INR,685.48,360507232.86,5.42
SEC0000069,Equity,GBP,8627.65,196712218.99,14.37
SEC0000070,Equity,GBP,9326.98,317005885.95,5.27
SEC0000071,Money Market,INR,2566.7,110341504.11,7.2
SEC0000072,Government Bond,EUR,5168.76,462193920.82,6.89
SEC0000073,Money Market,USD,3486.46,435876562.08,9.32
SEC0000074,ETF,INR,3265.97,351381636.44,9.96
SEC0000075,Money Market,EUR,6347.87,274650714.86,6.07
SEC0000076,Equity,GBP,8208.2,371931087.98,6.17
SEC0000077,Corporate Bond,EUR,9534.53,445592644.38,6.77
SEC0000078,Government Bond,EUR,7788.97,337873954.03,10.55
SEC0000079,Money Market,INR,4617.37,444685989.04,4.35
SEC0000080,Money Market,EUR,946.61,436869298.27,8.32
SEC0000081,ETF,EUR,3543.59,244082903.31,7.79
SEC0000082,ETF,USD,5981.74,68175405.05,4.13
SEC0000083,Equity,INR,8023.25,185362083.52,8.29
SEC0000084,Corporate Bond,INR,6677.17,41934520.71,2.89
SEC0000085,Equity,GBP,1799.15,270448806.93,13.49
SEC0000086,Money Market,USD,792.87,364335125.26,10.69
SEC0000087,ETF,USD,3634.66,106222751.62,5.8
SEC0000088,Equity,EUR,1018.78,256181589.95,5.2
SEC0000089,Government Bond,GBP,9496.56,421697009.44,4.97
SEC0000090,Money Market,EUR,928.87,99376957.39,9.82
SEC0000091,ETF,USD,593.61,187752340.65,13.14
SEC0000092,Money Market,GBP,5700.13,497667079.01,9.71
SEC0000093,Corporate Bond,INR,3493.0,239210929.51,9.22
SEC0000094,ETF,INR,9024.11,129751498.64,2.09
SEC0000095,Money Market,GBP,9546.19,216793399.69,12.92
SEC0000096,Government Bond,USD,8528.79,114817603.48,0.47
SEC0000097,Money Market,EUR,488.04,77539352.12,4.74
SEC0000098,Government Bond,EUR,9426.9,440923802.04,6.47
SEC0000099,Money Market,USD,9375.63,433455319.2,11.65
SEC0000100,Equity,EUR,6502.4,76902047.79,13.53
SEC0000101,Equity,INR,6000.98,123046923.24,1.04
