transaction_id,account_id,date,direction,currency,amount,channel,monitoring_status
TXN00000001,ACC0001966,2026-04-29,CREDIT,EUR,585443.68,Online,Review
TXN00000002,ACC0001670,2026-07-29,DEBIT,INR,1935351.48,Online,Review
TXN00000003,ACC0001626,2026-01-22,CREDIT,GBP,689945.41,Domestic,Normal
TXN00000004,ACC0000887,2026-06-21,CREDIT,INR,313980.33,ATM,Alert
TXN00000005,ACC0001741,2026-01-30,CREDIT,INR,1381334.8,Domestic,Review
TXN00000006,ACC0000814,2026-02-15,CREDIT,INR,1168961.63,Online,Alert
TXN00000007,ACC0001330,2026-08-22,CREDIT,EUR,1467625.86,Domestic,Review
TXN00000008,ACC0001149,2026-03-11,DEBIT,USD,1462305.06,CrossBorder,Normal
TXN00000009,ACC0000778,2026-02-19,CREDIT,GBP,135574.79,Domestic,Alert
TXN00000010,ACC0000268,2026-03-13,DEBIT,USD,364063.16,ATM,Alert
TXN00000011,ACC0001850,2026-03-18,CREDIT,GBP,1594761.81,Branch,Alert
TXN00000012,ACC0000800,2026-03-15,CREDIT,AED,1616947.38,Domestic,Alert
TXN00000013,ACC0001895,2026-05-06,CREDIT,GBP,1582667.34,Online,Normal
TXN00000014,ACC0001647,2026-05-06,CREDIT,INR,1049636.12,Branch,Alert
TXN00000015,ACC0001006,2026-01-10,DEBIT,INR,617428.66,Online,Normal
TXN00000016,ACC0000036,2026-02-23,DEBIT,GBP,1862200.12,ATM,Review
TXN00000017,ACC0000151,2026-05-28,CREDIT,EUR,1359519.17,CrossBorder,Review
TXN00000018,ACC0001431,2026-02-07,CREDIT,GBP,289223.3,Domestic,Normal
TXN00000019,ACC0000571,2026-01-07,DEBIT,AED,1546781.79,CrossBorder,Review
TXN00000020,ACC0001359,2026-04-08,DEBIT,AED,263792.27,Branch,Normal
TXN00000021,ACC0001013,2026-01-15,CREDIT,AED,1624818.53,Branch,Review
TXN00000022,ACC0000355,2026-04-29,CREDIT,USD,1454436.16,CrossBorder,Review
TXN00000023,ACC0001003,2026-01-15,DEBIT,GBP,1330974.69,Branch,Normal
TXN00000024,ACC0000263,2026-08-01,CREDIT,GBP,1390461.61,Domestic,Review
TXN00000025,ACC0001484,2026-08-15,DEBIT,INR,1587356.54,ATM,Alert
TXN00000026,ACC0001855,2026-06-30,DEBIT,USD,527247.56,ATM,Normal
TXN00000027,ACC0001305,2026-03-13,DEBIT,EUR,615526.31,Online,Normal
TXN00000028,ACC0001237,2026-05-04,CREDIT,AED,84107.98,Domestic,Normal
TXN00000029,ACC0001500,2026-08-24,CREDIT,EUR,414736.96,ATM,Review
TXN00000030,ACC0000731,2026-06-12,DEBIT,AED,546406.65,Online,Review
TXN00000031,ACC0001833,2026-04-14,DEBIT,GBP,837184.57,Online,Alert
TXN00000032,ACC0000865,2026-05-07,DEBIT,EUR,1871015.32,ATM,Alert
TXN00000033,ACC0001464,2026-01-24,CREDIT,GBP,1405252.67,Domestic,Review
TXN00000034,ACC0001878,2026-05-30,DEBIT,INR,425050.48,ATM,Normal
TXN00000035,ACC0000331,2026-01-29,DEBIT,GBP,1485823.57,CrossBorder,Alert
TXN00000036,ACC0000279,2026-08-12,DEBIT,GBP,1382380.29,CrossBorder,Normal
TXN00000037,ACC0000628,2026-04-13,CREDIT,INR,32693.58,Branch,Alert
TXN00000038,ACC0000393,2026-03-22,CREDIT,INR,668736.51,Branch,Normal
TXN00000039,ACC0001566,2026-06-08,CREDIT,EUR,731479.86,ATM,Review
TXN00000040,ACC0001191,2026-01-15,DEBIT,AED,1332231.81,Branch,Normal
TXN00000041,ACC0000986,2026-04-16,DEBIT,USD,1238907.91,Branch,Normal
TXN00000042,ACC0000075,2026-03-24,DEBIT,AED,433302.94,ATM,Normal
TXN00000043,ACC0000035,2026-05-19,CREDIT,EUR,715879.72,Branch,Review
TXN00000044,ACC0000121,2026-06-18,CREDIT,GBP,544808.47,ATM,Normal
TXN00000045,ACC0000430,2026-08-22,DEBIT,GBP,74781.27,Branch,Review
TXN00000046,ACC0000359,2026-07-06,CREDIT,INR,1330553.66,Branch,Review
TXN00000047,ACC0001200,2026-03-24,CREDIT,USD,1981111.83,Domestic,Normal
TXN00000048,ACC0001623,2026-07-13,CREDIT,GBP,673835.47,Branch,Review
TXN00000049,ACC0001177,2026-06-07,DEBIT,AED,1550704.26,ATM,Normal
TXN00000050,ACC0001245,2026-06-27,DEBIT,INR,866778.43,ATM,Review
TXN00000051,ACC0001863,2026-07-25,CREDIT,EUR,1620249.84,Domestic,Alert
TXN00000052,ACC0000177,2026-01-28,DEBIT,INR,409289.78,Branch,Normal
TXN00000053,ACC0001374,2026-03-05,CREDIT,GBP,402225.9,CrossBorder,Review
TXN00000054,ACC0000146,2026-08-13,DEBIT,GBP,1950681.37,Branch,Normal
TXN00000055,ACC0000963,2026-05-29,CREDIT,INR,1308667.63,ATM,Normal
TXN00000056,ACC0000639,2026-08-02,CREDIT,INR,199051.03,ATM,Review
TXN00000057,ACC0001133,2026-05-08,CREDIT,EUR,231055.47,Online,Normal
TXN00000058,ACC0000980,2026-01-04,CREDIT,INR,749810.33,Branch,Review
TXN00000059,ACC0000717,2026-01-11,CREDIT,GBP,651560.47,Branch,Alert
TXN00000060,ACC0000814,2026-08-26,DEBIT,USD,176059.12,Domestic,Normal
TXN00000061,ACC0000241,2026-02-21,CREDIT,USD,620652.62,ATM,Alert
TXN00000062,ACC0001365,2026-04-08,DEBIT,EUR,256318.48,Branch,Normal
TXN00000063,ACC0001967,2026-02-21,DEBIT,USD,156584.58,CrossBorder,Alert
TXN00000064,ACC0000566,2026-08-09,DEBIT,INR,1526134.8,Domestic,Normal
TXN00000065,ACC0001720,2026-03-16,DEBIT,INR,1391116.18,Domestic,Review
TXN00000066,ACC0001472,2026-05-22,DEBIT,AED,1115797.96,ATM,Review
TXN00000067,ACC0000763,2026-02-26,CREDIT,EUR,1815050.23,Domestic,Review
TXN00000068,ACC0000607,2026-05-13,CREDIT,USD,1700646.53,CrossBorder,Review
TXN00000069,ACC0000483,2026-02-24,CREDIT,EUR,1817010.4,ATM,Normal
TXN00000070,ACC0001784,2026-04-24,DEBIT,INR,1002851.04,Domestic,Review
TXN00000071,ACC0001359,2026-03-31,DEBIT,GBP,1070610.2,ATM,Review
TXN00000072,ACC0000535,2026-05-11,CREDIT,AED,851608.13,Online,Normal
TXN00000073,ACC0000289,2026-02-20,DEBIT,AED,972993.85,Domestic,Review
TXN00000074,ACC0000010,2026-05-03,CREDIT,INR,1404899.64,Branch,Normal
TXN00000075,ACC0000986,2026-08-10,CREDIT,AED,500290.68,Branch,Review
TXN00000076,ACC0000792,2026-07-23,CREDIT,EUR,852186.88,Online,Normal
TXN00000077,ACC0000201,2026-08-22,CREDIT,AED,1480811.78,CrossBorder,Alert
TXN00000078,ACC0001064,2026-04-12,CREDIT,USD,1089664.77,Online,Review
TXN00000079,ACC0000631,2026-05-06,CREDIT,INR,1337230.03,CrossBorder,Normal
TXN00000080,ACC0000589,2026-02-20,DEBIT,AED,1649899.83,CrossBorder,Alert
TXN00000081,ACC0000466,2026-05-26,DEBIT,USD,1797839.08,CrossBorder,Alert
TXN00000082,ACC0001693,2026-07-10,CREDIT,AED,1773778.08,Domestic,Review
TXN00000083,ACC0001812,2026-04-17,DEBIT,AED,1519162.39,Online,Normal
TXN00000084,ACC0000602,2026-01-14,CREDIT,AED,1315461.25,ATM,Review
TXN00000085,ACC0000943,2026-04-29,CREDIT,EUR,561197.85,Domestic,Normal
TXN00000086,ACC0000491,2026-03-28,DEBIT,AED,1951266.49,CrossBorder,Alert
TXN00000087,ACC0001734,2026-05-31,CREDIT,GBP,1730106.23,ATM,Normal
TXN00000088,ACC0000475,2026-08-16,DEBIT,INR,811906.2,Branch,Review
TXN00000089,ACC0000441,2026-07-13,CREDIT,AED,1598859.06,Branch,Review
TXN00000090,ACC0000055,2026-04-11,CREDIT,EUR,392708.32,CrossBorder,Normal
