user_id,role,department
USER00001,Analyst,credit
USER00002,CreditOfficer,aml
USER00003,RiskOfficer,credit
USER00004,CreditOfficer,risk
USER00005,Auditor,risk
USER00006,Auditor,operations
USER00007,Analyst,operations
USER00008,RiskOfficer,credit
USER00009,CreditOfficer,compliance
USER00010,RiskOfficer,credit
USER00011,Analyst,operations
USER00012,TreasuryOfficer,treasury
USER00013,Analyst,aml
USER00014,RiskOfficer,treasury
USER00015,TreasuryOfficer,kyc
USER00016,CreditOfficer,treasury
USER00017,CreditOfficer,aml
USER00018,Analyst,investments
USER00019,RiskOfficer,compliance
USER00020,Analyst,investments
USER00021,CreditOfficer,compliance
USER00022,TreasuryOfficer,treasury
USER00023,Auditor,aml
USER00024,ComplianceOfficer,kyc
USER00025,ComplianceOfficer,investments
USER00026,TreasuryOfficer,operations
USER00027,TreasuryOfficer,credit
USER00028,Auditor,operations
USER00029,Analyst,kyc
USER00030,Analyst,kyc
USER00031,Analyst,investments
USER00032,CreditOfficer,compliance
USER00033,ComplianceOfficer,aml
USER00034,RiskOfficer,operations
USER00035,Analyst,kyc
USER00036,Auditor,investments
USER00037,ComplianceOfficer,risk
USER00038,CreditOfficer,kyc
USER00039,CreditOfficer,compliance
USER00040,CreditOfficer,aml
USER00041,TreasuryOfficer,credit
USER00042,TreasuryOfficer,operations
USER00043,Analyst,aml
USER00044,Auditor,investments
USER00045,CreditOfficer,kyc
USER00046,TreasuryOfficer,credit
USER00047,TreasuryOfficer,compliance
USER00048,TreasuryOfficer,compliance
USER00049,RiskOfficer,treasury
USER00050,Auditor,kyc
USER00051,ComplianceOfficer,aml
USER00052,ComplianceOfficer,aml
USER00053,Auditor,aml
USER00054,CreditOfficer,aml
USER00055,CreditOfficer,compliance
USER00056,Auditor,credit
USER00057,Analyst,treasury
USER00058,Analyst,treasury
USER00059,Analyst,compliance
USER00060,ComplianceOfficer,credit
USER00061,CreditOfficer,investments
USER00062,RiskOfficer,operations
USER00063,Auditor,investments
USER00064,Analyst,compliance
USER00065,RiskOfficer,credit
USER00066,Auditor,investments
USER00067,RiskOfficer,compliance
USER00068,RiskOfficer,compliance
USER00069,RiskOfficer,kyc
USER00070,TreasuryOfficer,credit
USER00071,CreditOfficer,treasury
USER00072,Analyst,investments
USER00073,Auditor,investments
USER00074,Analyst,risk
USER00075,TreasuryOfficer,kyc
USER00076,ComplianceOfficer,aml
USER00077,Analyst,risk
USER00078,CreditOfficer,credit
USER00079,ComplianceOfficer,kyc
USER00080,ComplianceOfficer,risk
USER00081,TreasuryOfficer,compliance
USER00082,RiskOfficer,risk
USER00083,CreditOfficer,kyc
USER00084,CreditOfficer,kyc
USER00085,ComplianceOfficer,compliance
USER00086,Analyst,operations
USER00087,RiskOfficer,risk
USER00088,RiskOfficer,operations
USER00089,ComplianceOfficer,compliance
USER00090,RiskOfficer,kyc
USER00091,RiskOfficer,credit
USER00092,ComplianceOfficer,kyc
USER00093,ComplianceOfficer,risk
USER00094,CreditOfficer,aml
USER00095,TreasuryOfficer,risk
USER00096,CreditOfficer,treasury
USER00097,Analyst,compliance
USER00098,Auditor,risk
USER00099,ComplianceOfficer,operations
USER00100,Analyst,operations
USER00101,CreditOfficer,investments
USER00102,ComplianceOfficer,risk
USER00103,RiskOfficer,compliance
USER00104,RiskOfficer,treasury
USER00105,Auditor,operations
USER00106,RiskOfficer,risk
USER00107,RiskOfficer,risk
USER00108,TreasuryOfficer,operations
USER00109,Analyst,aml
USER00110,ComplianceOfficer,kyc
USER00111,Analyst,operations
USER00112,CreditOfficer,kyc
USER00113,RiskOfficer,credit
USER00114,TreasuryOfficer,risk
USER00115,ComplianceOfficer,compliance
USER00116,ComplianceOfficer,compliance
USER00117,CreditOfficer,credit
USER00118,Analyst,investments
USER00119,RiskOfficer,risk
USER00120,Analyst,compliance
USER00121,Auditor,credit
USER00122,Analyst,treasury
USER00123,TreasuryOfficer,aml
